time: 2000000000
256 1 1
256 2 1
256 3 1
256 4 1
256 5 1
256 6 1
256 7 1
256 8 1
256 9 1
256 10 1
257 1 1
257 2 1
257 3 1
257 4 1
257 5 1
257 6 1
257 7 1
257 8 1
257 9 1
257 10 1
258 1 1
258 2 1
258 3 1
258 4 1
258 5 1
258 6 1
258 7 1
258 8 1
258 9 1
258 10 1
259 1 1
259 2 1
259 3 1
259 4 1
259 5 1
259 6 1
259 7 1
259 8 1
259 9 1
259 10 1
260 1 1
260 2 1
260 3 1
260 4 1
260 5 1
260 6 1
260 7 1
260 8 1
260 9 1
260 10 1
261 1 1
261 2 1
261 3 1
261 4 1
261 5 1
261 6 1
261 7 1
261 8 1
261 9 1
261 10 1
262 1 1
262 2 1
262 3 1
262 4 1
262 5 1
262 6 1
262 7 1
262 8 1
262 9 1
262 10 1
263 1 1
263 2 1
263 3 1
263 4 1
263 5 1
263 6 1
263 7 1
263 8 1
263 9 1
263 10 1
264 1 1
264 2 1
264 3 1
264 4 1
264 5 1
264 6 1
264 7 1
264 8 1
264 9 1
264 10 1
265 1 1
265 2 1
265 3 1
265 4 1
265 5 1
265 6 1
265 7 1
265 8 1
265 9 1
265 10 1
266 1 1
266 2 1
266 3 1
266 4 1
266 5 1
266 6 1
266 7 1
266 8 1
266 9 1
266 10 1
267 1 1
267 2 1
267 3 1
267 4 1
267 5 1
267 6 1
267 7 1
267 8 1
267 9 1
267 10 1
268 1 1
268 2 1
268 3 1
268 4 1
268 5 1
268 6 1
268 7 1
268 8 1
268 9 1
268 10 1
269 1 1
269 2 1
269 3 1
269 4 1
269 5 1
269 6 1
269 7 1
269 8 1
269 9 1
269 10 1
270 1 1
270 2 1
270 3 1
270 4 1
270 5 1
270 6 1
270 7 1
270 8 1
270 9 1
270 10 1
271 1 1
271 2 1
271 3 1
271 4 1
271 5 1
271 6 1
271 7 1
271 8 1
271 9 1
271 10 1
272 1 1
272 2 1
272 3 1
272 4 1
272 5 1
272 6 1
272 7 1
272 8 1
272 9 1
272 10 1
273 1 1
273 2 1
273 3 1
273 4 1
273 5 1
273 6 1
273 7 1
273 8 1
273 9 1
273 10 1
274 1 1
274 2 1
274 3 1
274 4 1
274 5 1
274 6 1
274 7 1
274 8 1
274 9 1
274 10 1
275 1 1
275 2 1
275 3 1
275 4 1
275 5 1
275 6 1
275 7 1
275 8 1
275 9 1
275 10 1
276 1 1
276 2 1
276 3 1
276 4 1
276 5 1
276 6 1
276 7 1
276 8 1
276 9 1
276 10 1
277 1 1
277 2 1
277 3 1
277 4 1
277 5 1
277 6 1
277 7 1
277 8 1
277 9 1
277 10 1
278 1 1
278 2 1
278 3 1
278 4 1
278 5 1
278 6 1
278 7 1
278 8 1
278 9 1
278 10 1
279 1 1
279 2 1
279 3 1
279 4 1
279 5 1
279 6 1
279 7 1
279 8 1
279 9 1
279 10 1
280 1 1
280 2 1
280 3 1
280 4 1
280 5 1
280 6 1
280 7 1
280 8 1
280 9 1
280 10 1
281 1 1
281 2 1
281 3 1
281 4 1
281 5 1
281 6 1
281 7 1
281 8 1
281 9 1
281 10 1
282 1 1
282 2 1
282 3 1
282 4 1
282 5 1
282 6 1
282 7 1
282 8 1
282 9 1
282 10 1
283 1 1
283 2 1
283 3 1
283 4 1
283 5 1
283 6 1
283 7 1
283 8 1
283 9 1
283 10 1
284 1 1
284 2 1
284 3 1
284 4 1
284 5 1
284 6 1
284 7 1
284 8 1
284 9 1
284 10 1
285 1 1
285 2 1
285 3 1
285 4 1
285 5 1
285 6 1
285 7 1
285 8 1
285 9 1
285 10 1
286 1 1
286 2 1
286 3 1
286 4 1
286 5 1
286 6 1
286 7 1
286 8 1
286 9 1
286 10 1
287 1 1
287 2 1
287 3 1
287 4 1
287 5 1
287 6 1
287 7 1
287 8 1
287 9 1
287 10 1
288 1 1
288 2 1
288 3 1
288 4 1
288 5 1
288 6 1
288 7 1
288 8 1
288 9 1
288 10 1
288 11 1
288 12 1
288 13 1
288 14 1
288 15 1
288 16 1
288 17 1
288 18 1
288 19 1
288 20 1
288 21 1
288 22 1
288 23 1
288 24 1
289 1 1
289 2 1
289 3 1
289 4 1
289 5 1
289 6 1
289 7 1
289 8 1
289 9 1
289 10 1
289 11 1
289 12 1
289 13 1
289 14 1
289 15 1
289 16 1
289 17 1
289 18 1
289 19 1
289 20 1
289 21 1
289 22 1
289 23 1
289 24 1
290 1 1
290 2 1
290 3 1
290 4 1
290 5 1
290 6 1
290 7 1
290 8 1
290 9 1
290 10 1
290 11 1
290 12 1
290 13 1
290 14 1
290 15 1
290 16 1
290 17 1
290 18 1
290 19 1
290 20 1
290 21 1
290 22 1
290 23 1
290 24 1
291 1 1
291 2 1
291 3 1
291 4 1
291 5 1
291 6 1
291 7 1
291 8 1
291 9 1
291 10 1
291 11 1
291 12 1
291 13 1
291 14 1
291 15 1
291 16 1
291 17 1
291 18 1
291 19 1
291 20 1
291 21 1
291 22 1
291 23 1
291 24 1
292 1 1
292 2 1
293 1 1
293 2 1
294 1 1
294 2 1
295 1 1
295 2 1
296 1 1
296 2 1
297 1 1
297 2 1
298 1 1
298 2 1
299 1 1
299 2 1
300 1 1
300 2 1
301 1 1
301 2 1
302 1 1
302 2 1
303 1 1
303 2 1
304 1 1
304 2 1
305 1 1
305 2 1
306 1 1
306 2 1
307 1 1
307 2 1
